编号,今地名,古地名,地点名胜,经度,纬度
cd152a8b74d02a1a8dd0858bfdc13a39,丹江口,山南东道,淅阳山,111.1846605,32.5453821
50a764ebd4dd83247aa8797ba50955e3,丹江口,山南东道,,111.1846605,32.5453821
c738f3dfbc6fc10b764c839b29d6750a,郧阳区,山南东道,,110.7569420,32.9128560
289961f6049bd8dee54448bba7e0071a,蓬莱,河南道,,120.8242680,37.7949103
9da88e0110da161a108c00d229f3736a,烟台,河南道,之罘山,121.3774774,37.5475659
b07dbb2f8c90a52a59013d4077ec8f2c,漳州,江南东道,,117.4524304,24.2388257
391e053abe7dc2914df88af166f1868b,衡山,江南西道,,112.8820230,27.2221644
212b094c4663b42c9d9d1a86648e869c,衡山县,,衡山,109.2986993,38.0196756
d39b58ed9be05df3ac8d183a8072e38b,衡山县,,,112.7373212,27.3152736
8c7abe87428a55d80975527ebdfd6a11,衡阳,江南西道,衡山,112.7373212,27.3152736
74be0b74f9baec4c410ef21af460d23f,衡阳,江南道,,112.5666191,26.8971308
f61f4fb1eb3eefd420b634fc4b1c1bfc,衡阳,江南西道,,112.5666191,26.8971308
acc49d2724c6138ac847b3e7ab0ae57e,衡阳,,,112.5666191,26.8971308
3d84d35465a5f2c52031a2b6ae329c1b,衡阳,江南西道,合江亭,112.6125863,26.9153283
eda0b46a9037b2579c53b350ac8a3632,衡阳,江南西道,衡山衡岳庙,112.5666191,26.8971308
eabd770a56df7ce2d547dd70f3d6d74e,衡阳,江南西道,南岳,112.7061618,27.2660465
6c930fa292741be506092ea9fdba3d2c,衡阳,江南西道,木居士庙,112.5666191,26.8971308
aef898606a5df5ad989781b8117a8b26,耒阳,江南西道,,112.8545783,26.4255243
b65bd8c75c49086c4a1361ced7ac3f93,耒阳,江南西道,方田驿,112.8545783,26.4255243
94fe012c4d2566c592d6b158d4a69a4a,耒阳,江南西道,鳌口寺,112.8545783,26.4255243
abb11c7bc012dae7bb27f2c526a70c73,耒阳,江南西道,杜甫墓,112.8545783,26.4255243
cc36781fa8b198a6cc5db36c29836716,鄂城,江南西道,,114.8863775,30.4032944
157cfe117da71bdc327f95e7e688645e,鄂城,江南西道,西塞山,115.0531689,30.1963375
cc975254e4669a4dc642e2b8c67ffed2,鄂州,江南西道,郎亭山,114.8898988,30.3925379
2034e7c495b5685fda07fed99151cee2,鄂州,江南西道,,114.8898988,30.3925379
68627fde0866d4fcbf32a24d7c913257,鄂州,,,114.8898988,30.3925379
fa7b5b5985480e2e0364c8f8b215f118,始兴,岭南道,大庾岭,121.3098356,24.1807763
6140cbbce4196b0987d597899c81299b,始兴,岭南道,,114.0566468,24.9563552
3f2887de193ca2be5ec5dbc8f2cb6361,韶关,岭南道,广果寺（今南华寺）,113.8155263,24.8309489
efa095f4d996d30159ae944071c4675c,韶关,岭南道,,113.8155263,24.8309489
ebf6db7113de1c2acab90a5865746c7e,韶关,岭南道,灵鹫寺,113.8155263,24.8309489
b6d5619a37f88fea773d3b8c723b6a58,韶关,岭南道,曲江,113.6103909,24.6457696
c2a1749b057a7ff6ce8362fb4471bbcc,韶关,京畿道,,113.8155263,24.8309489
3983e41ad82f3cc3052c2b8aa802d466,韶关,岭南道,始兴江口,114.2620531,22.3132472
03f74426d2bb9a500a49d15f1b7bbb81,韶关,岭南道,宣溪,108.3351025,22.8044874
7c201ba5f7262633dedfe7a849911d53,韶关,,,113.8155263,24.8309489
3ed08739b56a643121062689584f7a68,韶关,岭南道,韶阳楼,113.6048153,24.7826125
b11539b7e4160f1f04845aa2142a43ed,韶关,岭南道,南华寺,113.6307063,24.6478557
acb44090d53f8dff64156179e4e00015,韶关,岭南道,灵鹫山,113.8155263,24.8309489
84aa1161149890d77066805f3d8e8774,乐昌,岭南道,白石岭,113.3518817,25.1319249
3c0ea616ef63e87cc66279c608c5f56f,乐昌,岭南道,泷水,137.2131115,36.6898864
270c14a29a23ce7d3b870870385ad851,曲江,岭南道,,113.6103909,24.6457696
3ead104aa707391eb252b18664d8e730,南雄,,,114.4450823,25.2127803
b79dad3326c9d7573d263478b104eb17,酒泉,陇右道,,96.4560478,40.2773513
930bef2988079ba70ee009c2df801268,敦煌,陇右道,,94.6607593,40.1411004
cecbb9a48d74d4973780e9a7bf4e2f51,敦煌,陇右道,玉门关,94.1346107,40.1301889
2f8a2ef2d0b2594db665477c5b627651,泰安,河南道,,117.0809316,36.2002968
fca2d458b3811caf008d1530be091681,泰安,河南道,孔子堂,121.3023326,25.0173992
a9e45028341e5357ee0455518340b921,泰安,河南道,泰山,117.1289741,36.1930772
dc324adf6c700efb9e1a10fa5d0a7573,泰安,河南道,徂徕山,117.3110138,36.0447795
8946199b69311ce33edfff37fc5bb7c9,东平,河南道,,113.1236851,22.9677016
9ef66297cff8e56462768ecc888a3066,东平县,,,116.4646998,35.9364734
deb555ac2532ec9a9aec9a7c641d393a,泉州,,,118.3387170,25.1901863
619267c6a93fdfb31dc2e468c8c46289,河内,岭南道,,105.8540410,21.0283334
b89997df55beaff35a90d3756a5ce17f,北宁,岭南道,,2.2584408,9.5293472
81beb12544af49d871e2cc5c7451e5b7,清化,岭南道,九真山静居寺,113.0636771,35.1667041
04a72ff47ad772a08691a6ae15e07f83,日照,河南道,莒县东,118.8323516,35.4575874
88528f98c4186c3f5a9d0247b4ea7f27,莒县,河南道,,118.8269753,35.5867424
b6711891d00405a6571242b83b36d7e5,郴州,江南西道,马岭山,120.1334333,30.2690914
c290412366cb3a8a99518618f1db36ce,郴州,江南西道,郴山,113.1112359,25.7920815
128f6f165c0370fe0085178de2db4432,郴州,江南西道,垒石湾,114.6379748,30.5994884
041c681ca925792fac672ff9b02c4e38,郴州,江南西道,大庾岭,114.2839395,23.0053244
5e8a8716406e971a9082a89d049a8cb7,郴州,江南西道,,113.0094337,25.7733598
91fec187b68571c75e1522ef4272588c,郴州,江南西道,郴口,100.6191998,36.2828182
007e4ea15a7412a1681ca8f73ddbe047,安陆,淮南道,,113.6480203,31.3066219
9742cca59780e9dcab7b4426d637e072,安陆,淮南道,白兆山桃花岩,113.6480203,31.3066219
ff0db691b9de05ecb6379849254eaf9b,安陆市,淮南道,浮云寺,117.2412562,31.7228358
a6ced7a80c87c3b69dbe8c7dee455cbc,安陆,,,113.6480203,31.3066219
386dc641529cd3802bd85b4910bae5af,应城,淮南道,玉女泉,113.5664812,30.9333642
